path,blob_oid,classification,copyright_holder,source,upstream_license,relicense_status,evidence
.github/workflows/desktop-installers.yml,0c47e57eea4da2fa8eb3880be6b3ff6f407f806c,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
.github/workflows/mobile-android.yml,74ecbdc2e81c8fc0df587f557f9a01fd3ac9158b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
.gitignore,e977ba6246fba020dda9d2573de14b62d432d4ab,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
LICENSE,be3f7b28e564e7dd05eaf59d64adba1a4065ac0e,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
README.md,6c7b2f1bb78ca7ffd9b629e96513341b88dfb5ee,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/.env.example,65b5fc5b0f0a3ba13c484342bd3aee440790c577,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/Caddyfile,a3a2ab689062eb62f426f278eb74c0cff217bfdf,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/dev/.env.example,0e1d857ba25f73b99fed8730a45906a3b40e4903,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/dev/.gitignore,81e7df0423eaafe5aed13a7268840c481e892881,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/dev/compose.yml,573b4b5fa444d172d143dfbd7e8f978b056a0eee,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/dev/up.sh,c8c433682c80d32ce40d0d6eab85a5b66e299bd3,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/docker-compose.yml,eac04ae871037a16d4c4da669e8938db68549961,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/.env.template,c3bceeb30857f08815e81eb2d6f5ad2086aade54,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/Dockerfile.dsh,ac44ec37efdd9873a63a167d46261dffb8a199ee,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/backup-db.sh,77eb5adcc6e41be98b4647bbbbc5f63c077efc65,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/backup-workspaces.sh,4e2f42ca13558b226da06b608314eca8765044a9,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/compose.yml,82a9c5bf397139f00002a572bafac04f3ca67a7b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
